1654777759,25.09,50.7,1149,424,12881,19442,938.762,2,2.08,13.76,2.146,0.048,16416,1
1654757590,-8.289,47.57,1239,400,13016,19422,938.783,2.57,2.67,17.66,2.754,0.062,24259,1
1654772938,26.58,47.97,1055,609,12807,19465,939.066,1.96,2.03,13.47,2.101,0.047,11595,1
1654743575,-1.189,50.19,875,689,12782,19504,939.067,2.29,2.38,15.77,2.459,0.056,10244,1
1654773416,26.67,47.97,1051,581,12820,19461,938.992,2,2.07,13.74,2.142,0.048,12073,1
1654750490,14.813,53.72,1138,407,12897,19442,938.817,1.46,1.51,10.03,1.563,0.035,17159,1
1654749123,11.997,48.27,1155,411,12878,19444,938.805,2.01,2.09,13.82,2.156,0.049,15792,1
1654778111,27.08,47.33,1117,400,12898,19453,938.767,1.85,1.92,12.72,1.983,0.045,16768,1
1654751531,19.056,47.76,1159,400,12913,19443,938.7,1.55,1.61,10.66,1.662,0.038,18200,1
1654776201,25,51.29,1096,454,12866,19450,938.839,1.64,1.7,11.27,1.757,0.04,14858,1
1654754548,-0.58,51.38,1387,415,12949,19382,938.691,2.02,2.09,13.88,2.164,0.049,21217,1
1654736726,6.673,54.9,306,400,13124,19910,939.665,1.81,1.88,12.47,1.945,0.044,3395,1
1654780049,24.69,52.98,1277,415,12912,19415,938.699,1.93,2.01,13.3,2.074,0.047,18706,1
1654779500,25.02,51.25,1191,404,12906,19437,938.697,1.87,1.94,12.87,2.007,0.045,18157,1
1654753673,12.834,53.08,1099,400,12977,19449,938.752,1.77,1.84,12.21,1.905,0.043,20342,1
1654767515,19.29,55.28,155,400,13171,20099,939.65,0.95,0.99,6.56,1.022,0.023,6172,1
1654744950,13.126,51.67,1082,632,12805,19459,939.058,1.8,1.87,12.4,1.933,0.044,11619,1
1654766414,22.39,48.13,34,400,13248,20191,939.666,2.31,2.4,15.89,2.477,0.056,5071,1
1654784163,26.88,48.05,1323,400,12976,19397,938.719,2.12,2.2,14.56,2.271,0.051,22820,1
1654779558,25.16,50.34,1224,424,12899,19422,938.693,1.78,1.85,12.24,1.909,0.043,18215,1
1654737216,0.815,51.29,174,400,13215,20047,939.661,2.13,2.21,14.64,2.283,0.052,3885,1
1654772740,24.2,53.51,1147,646,12795,19448,939.105,2.4,2.49,16.5,2.573,0.058,11397,1
1654757169,-16.93,48.33,1398,400,12974,19386,938.707,1.73,1.79,11.89,1.854,0.042,23838,1
1654742246,-5.189,56.09,369,400,13054,19889,939.279,0.44,0.46,3.05,0.476,0.011,8915,1
1654753361,16.35,53.57,1189,406,12930,19430,938.741,1.36,1.41,9.35,1.459,0.033,20030,1
1654748577,12.541,49.81,1088,421,12886,19464,938.821,1.95,2.03,13.43,2.094,0.047,15246,1
1654749854,12.895,47.49,1136,400,12893,19451,938.762,1.65,1.71,11.34,1.769,0.04,16523,1
1654738874,-9.271,48.95,10,400,13264,20251,939.735,2.63,2.73,18.09,2.821,0.064,5543,1
1654765546,21.05,53.96,68,400,13248,20147,939.648,2.18,2.27,15.02,2.342,0.053,4203,1
1654756977,-19.383,50.59,1304,400,12986,19394,938.714,1.78,1.85,12.24,1.908,0.043,23646,1
1654768851,20.96,49.88,262,400,13134,19998,939.482,0.64,0.66,4.38,0.683,0.015,7508,1
1654751486,18.886,50.29,1193,410,12899,19430,938.697,1.97,2.05,13.55,2.113,0.048,18155,1
1654775056,25.4,48.49,1251,552,12824,19423,938.877,2.12,2.2,14.56,2.271,0.051,13713,1
1654782316,25.28,48.95,1431,433,12928,19364,938.696,1.92,2,13.24,2.065,0.047,20973,1
1654748726,12.275,50.04,1172,440,12874,19443,938.81,1.96,2.04,13.5,2.106,0.048,15395,1
1654768462,18.79,54.78,242,400,13136,20027,939.549,0.47,0.48,3.2,0.499,0.011,7119,1
1654755732,-17.933,47.96,1364,404,12965,19387,938.739,1.91,1.98,13.14,2.049,0.046,22401,1
1654778901,24.98,51.64,1184,411,12897,19434,938.742,1.34,1.4,9.26,1.444,0.033,17558,1
1654770559,20.98,57.08,436,539,12871,19821,939.228,1.62,1.69,11.17,1.742,0.039,9216,1
1654748168,13.773,47.63,1084,442,12868,19448,938.851,1.79,1.86,12.34,1.924,0.043,14837,1
