-1856,-1208,-17224,-2496,53,272,0 
-1920,-1276,-17504,-2432,33,401,0 
-1884,-1088,-17180,-2464,39,256,0 
-2036,-1240,-17348,-2432,83,177,0 
-2276,-1208,-17084,-2416,24,56,0 
-1800,-1240,-17236,-2448,58,460,0 
-1680,-1072,-17224,-2432,-9,425,0 
-3192,-2892,-18548,-2432,-292,971,0 
-1480,-1348,-17216,-2432,286,-1200,0 
-2072,-1144,-17184,-2416,34,36,0 
-2044,-1296,-17216,-2400,96,264,0 
-1912,-1336,-17432,-2416,-20,230,0 
-1920,-1476,-17328,-2448,219,148,0 
-2440,-1384,-16348,-2416,-263,-103,0 
-1884,-1184,-17600,-2400,136,548,0 
-2404,-1604,-16960,-2432,139,95,0 
-1572,-1412,-17384,-2416,6,385,0 
-1812,-1208,-17412,-2432,42,305,0 
-6052,-2648,-14508,-2416,-527,-3029,0 
-1464,-1432,-17312,-2432,116,130,0 
-1748,-1308,-17324,-2416,99,463,0 
-1908,-1336,-17136,-2384,20,301,0 
-1876,-1400,-17408,-2400,94,326,0 
-2232,-1324,-17224,-2384,80,98,0 
-1892,-1384,-17240,-2416,73,280,0 
-1996,-1348,-17408,-2400,49,303,0 
-1992,-1280,-17296,-2400,72,296,0 
-1892,-1396,-17320,-2400,73,290,0 
-1848,-1192,-17200,-2400,52,288,0 
-1916,-1196,-17288,-2384,53,271,0 
-1984,-1356,-17372,-2384,63,259,0 
-1972,-1336,-17200,-2384,58,289,0 
-1956,-1328,-17168,-2432,68,289,0 
-2068,-1344,-17136,-2432,71,285,0 
-1856,-1368,-17196,-2384,53,274,0 
-1912,-1336,-17192,-2416,70,257,0 
-1868,-1292,-17236,-2432,57,275,0 
-2020,-1396,-17324,-2400,53,281,0 
-1972,-1348,-17200,-2384,74,285,0 
-2044,-1212,-17356,-2416,66,285,0 
-1956,-1312,-17308,-2416,62,266,0 
-1912,-1332,-17244,-2400,68,250,0 
-1972,-1220,-17180,-2400,69,304,0 
-2024,-1232,-17452,-2400,75,298,0 
-1520,-1168,-17812,-2352,129,1395,0 
-1808,-1208,-17388,-2352,57,383,0 
-1892,-1296,-17160,-2416,66,266,0 
-1948,-1232,-17400,-2400,46,332,0 
-1676,-1456,-17792,-2400,-159,-866,0 
-1516,-1596,-17760,-2384,240,-458,0 
-1420,-1332,-17404,-2384,178,837,0 
-1304,-1376,-17396,-2384,411,41,0 
-1344,-1240,-17604,-2368,-23,529,0 
-1260,-1364,-17464,-2400,74,241,0 
-1136,-1344,-17548,-2400,-30,1624,0 
-584,-1492,-17296,-2432,-23,906,0 
-260,-1456,-17644,-2368,-103,1385,0 
200,-1260,-17540,-2400,20,887,0 
236,-1256,-18048,-2384,-87,1340,0 
604,-960,-17608,-2400,-382,661,0 
684,-1072,-17560,-2352,233,115,0 
504,-1004,-17332,-2368,46,271,0 
688,-1032,-17372,-2384,64,289,0 
-724,-1828,-16936,-2368,1766,-9109,0 
-828,-1468,-17332,-2352,78,-895,0 
-768,-1416,-17276,-2368,65,84,0 
-1088,-1348,-17496,-2352,50,80,0 
-968,-1352,-17388,-2368,28,79,0 
-960,-1392,-17544,-2368,69,217,0 
-1040,-1200,-17500,-2368,50,107,0 
-1076,-1268,-17468,-2352,50,281,0 
-1128,-1400,-17280,-2352,66,180,0 
-1192,-1296,-17408,-2352,51,255,0 
-1152,-1336,-17316,-2384,56,226,0 
-1168,-1340,-17428,-2368,57,292,0 
-1212,-1356,-17244,-2336,73,269,0 
-1104,-1420,-17420,-2368,90,262,0 
-1216,-1512,-17204,-2336,74,246,0 
-1208,-1428,-17156,-2336,64,285,0 
-1096,-1336,-17364,-2368,41,284,0 
-1264,-1372,-17428,-2368,52,268,0 
-1204,-1328,-17412,-2368,60,265,0 
-1260,-1336,-17444,-2368,66,243,0 
-1236,-1184,-17364,-2304,36,309,0 
-1108,-1308,-17288,-2352,72,284,0 
-1196,-1296,-17440,-2336,54,231,0 
-1092,-1388,-17308,-2368,70,237,0 
-1260,-1396,-17348,-2336,61,236,0 
-1296,-1308,-17464,-2336,67,283,0 
-1312,-1284,-17236,-2352,50,275,0 
-1320,-1316,-17436,-2384,51,244,0 
-1208,-1320,-17344,-2352,57,284,0 
-1188,-1292,-17284,-2352,64,281,0 
-1320,-1368,-17588,-2336,74,271,0 
-1240,-1388,-17300,-2336,81,256,0 
-1212,-1320,-17484,-2336,59,270,0 
-1244,-1328,-17516,-2304,43,278,0 
-1248,-1280,-17452,-2320,79,280,0 
-1216,-1288,-17336,-2320,48,264,0 
-1220,-1344,-17332,-2352,66,246,0 
-1256,-1276,-17280,-2320,51,266,0 
-1328,-1192,-17416,-2320,71,272,0 
-1308,-1364,-17424,-2336,62,298,0 
-1284,-1256,-17376,-2336,61,253,0 
-1320,-1352,-17260,-2368,56,246,0 
-1316,-1180,-17236,-2320,43,265,0 
-1268,-1324,-17432,-2320,39,276,0 
-1220,-1348,-17480,-2320,54,259,0 
-1248,-1516,-17432,-2336,68,256,0 
-1336,-1248,-17480,-2352,75,348,0 
-1172,-1308,-17300,-2304,61,259,0 
-1316,-1240,-17376,-2336,39,319,0 
-1268,-1412,-17412,-2336,60,276,0 
-1172,-1376,-17256,-2336,58,257,0 
-1164,-1380,-17316,-2304,62,271,0 
-1216,-1336,-17500,-2336,61,295,0 
-1172,-1320,-17380,-2336,53,306,0 
-1256,-1460,-17304,-2336,103,257,0 
-1184,-1352,-17248,-2304,47,235,0 
-1436,-1284,-17460,-2368,41,284,0 
-1180,-1296,-17300,-2336,74,324,0 
-1244,-1244,-17496,-2352,50,272,0 
-1312,-1420,-17408,-2384,56,229,0 
-1160,-1336,-17280,-2320,34,272,0 
-1364,-1316,-17476,-2304,38,277,0 
-1196,-1456,-17152,-2304,57,284,0 
-1280,-1292,-17300,-2336,60,227,0 
-1252,-1268,-17380,-2304,48,270,0 
-1172,-1448,-17388,-2336,95,302,0 
-1280,-1312,-17492,-2304,64,295,0 
-1184,-1396,-17476,-2336,32,288,0 
-1172,-1296,-17232,-2288,61,247,0 
-1284,-1288,-17508,-2304,53,267,0 
-1144,-1304,-17332,-2320,51,274,0 
-1256,-1288,-17432,-2320,45,262,0 
-1204,-1360,-17292,-2320,85,248,0 
